leaf	channel	kind	reshaping
state	nexus:state	ask	
choose	nexus:choose	ask	
openPage	page:open	ask	
updatePageBody	page:updateBody	ask	
listHistory	history:list	ask	
readSnapshot	history:read	ask	
restoreSnapshot	history:restore	ask	
deleteSnapshots	history:delete	ask	
clearHistory	history:clear	ask	
historyMenu	history:menu	ask	
folds.get	folds:get	ask	
folds.set	folds:set	ask	
activeViews.get	activeViews:get	ask	
activeViews.set	activeViews:set	ask	
viewOrders.get	viewOrders:get	ask	
viewOrders.set	viewOrders:set	ask	
views.save	views:save	ask	
views.reorder	views:reorder	ask	
views.delete	views:delete	ask	
container.configure	container:configure	ask	
viewButtonMenu	view-button-menu	ask	
viewRowMenu	view-row-menu	ask	
viewEmbedTitleMenu	view-embed-title-menu	ask	
viewEmbedAreaMenu	view-embed-area-menu	ask	
iconFavoriteMenu	icon-favorite-menu	ask	
schema.add	schema:add	ask	
schema.rename	schema:rename	ask	
schema.reorder	schema:reorder	ask	
schema.delete	schema:delete	ask	
schema.assign	schema:assign	ask	
property.delete	property:delete	ask	
property.setOptions	property:setOptions	ask	
property.setStatusGroups	property:setStatusGroups	ask	
property.setLinkConfig	property:setLinkConfig	ask	
property.setCheckboxColor	property:setCheckboxColor	ask	
property.setIcon	property:setIcon	ask	
property.setNumberFormat	property:setNumberFormat	ask	
property.setFileDirectory	property:setFileDirectory	ask	
property.renameOption	property:renameOption	ask	
property.removeOption	property:removeOption	ask	
property.clearOption	property:clearOption	ask	
property.renameStatusOption	property:renameStatusOption	ask	
property.removeStatusOption	property:removeStatusOption	ask	
property.clearStatusOption	property:clearStatusOption	ask	
registry.reorder	registry:reorder	ask	
loadValues	view:loadValues	ask	
embedHeights.get	embedHeights:get	ask	
embedHeights.set	embedHeights:set	ask	
embedZooms.get	embedZooms:get	ask	
embedZooms.set	embedZooms:set	ask	
webGuestZoom.set	webGuestZoom:set	ask	
webGuestMedia.pause	webGuestMedia:pause	ask	
tableHeadingColumns.get	tableHeadingCols:get	ask	
tableHeadingColumns.set	tableHeadingCols:set	ask	
headingIcon.get	headingIcon:get	ask	
headingIcon.set	headingIcon:set	ask	
citations.get	citations:get	ask	
citations.set	citations:set	ask	
aliases.get	aliases:get	ask	
aliases.set	aliases:set	ask	
tiles.get	tiles:get	ask	
tiles.save	tiles:save	ask	
tiles.createMarkdown	tiles:createMarkdown	ask	
tiles.removeTile	tiles:removeTile	ask	
tiles.readMarkdown	tiles:readMarkdown	ask	
tiles.writeMarkdown	tiles:writeMarkdown	ask	
tiles.convertToPage	tiles:convertToPage	ask	
tiles.convertToView	tiles:convertToView	ask	
tiles.duplicateTile	tiles:duplicateTile	ask	
subfield.get	subfield:get	ask	
subfield.set	subfield:set	ask	
navViewModes.get	navViewModes:get	ask	
navViewModes.set	navViewModes:set	ask	
nav.read	nav:read	ask	
nav.write	nav:write	ask	
tabs.load	tabs:load	ask	
tabs.save	tabs:save	ask	
windows.load	windows:load	ask	
windows.save	windows:save	ask	
glance.load	glance:load	ask	
glance.save	glance:save	ask	
devicePrefs.load	devicePrefs:load	ask	
devicePrefs.save	devicePrefs:save	ask	
rowMenu	row-menu	ask	
capture.thumbnail	capture:thumbnail	ask	
capture.evict	nav:evictThumbs	ask	
listTrash	trash:list	ask	
trashMenu	trash:menu	ask	
trashColumnMenu	trash:columnMenu	ask	
deleteFacts	delete:facts	ask	
reportTrash	trash:report	ask	
mutate	mutate	ask	
contextMenu	context-menu	ask	
setEditorFormatState	editor:format-state	tell	
winDragBy	win:dragBy	tell	
winZoom	win:zoom	tell	
popCreateMenu	create-menu	ask	
showError	error:show	ask	
openExternal	link:open	ask	
linkTitles.get	linkTitles:get	ask	
linkTitles.fetch	linkTitles:fetch	ask	
systemAccent	theme:systemAccent	ask	
iconMenu	nexus:iconMenu	ask	
pickFile	nexus:pickFile	ask	
adoptFile	assets:adopt	ask	
pasteImage	nexus:pasteImage	ask	
bannerMenu	nexus:bannerMenu	ask	
titleMenu	nexus:titleMenu	ask	
tableMenu	table-menu	ask	
gripMenu	grip-menu	ask	
columnMenu	column-menu	ask	
cellMenu	cell-menu	ask	
writeClipboard	clipboard:write	ask	
readClipboard	clipboard:read	ask	
revealPath	path:reveal	ask	
assetMap	assets:map	ask	
chooseAssetDir	assets:chooseDir	ask	
setAssetDir	assets:setDir	ask	
setExclusions	exclusions:set	ask	
chooseExclusion	exclusions:choose	ask	
clearExclusions	exclusions:clear	ask	
countExclusions	exclusions:count	ask	
pageActionsMenu	page-actions-menu	ask	
cardMenu	card-menu	ask	
tabMenu	tab-menu	ask	
navRowMenu	nav-row-menu	ask	
connMenu	conn-menu	ask	
citationMenu	citation-menu	ask	
propertyMenu	property-menu	ask	
optionMenu	option-menu	ask	
setGripHot	editor:grip-hot	tell	
wheelGuest	web:wheel	tell	
renameNexus	nexus:rename	ask	
onMenuAction	menu:action	on	
onBeginRename	begin-rename	on	
onBeginIcon	begin-icon	on	
onNewPageAdjacent	new-page-adjacent	on	
onOpenInNewTab	open-in-new-tab	on	
onConfirmDelete	confirm-delete	on	
onOpenInWindow	open-in-window	on	
onOpenHistory	open-history	on	
onNavChanged	nav:changed	on	
onAssetsChanged	assets:changed	on	
onNexusChanged	nexus:changed	on	
onValuesChanged	values:changed	on	
onTilesChanged	tiles:changed	on	
onWebPopup	web:popup	on	
openDropped	nexus:openPath	ask	resolves a File to its path via webUtils.getPathForFile; stays in the preload
personalization.set	personalization:set	ask	none (narrows the key/value pair to Personalization)
